name	x	y	z	material
Iz	-0.0021840232199726	-0.08858648357248693	0.023270166732359855	active electrode
Fp2	0.028409487887091203	0.11534630809630636	0.02772125772253031	active electrode
I1	-0.03199378523139305	-0.08483938956948993	0.01691581149411735	active electrode
AF3	-0.03518601491807185	0.10912956744877292	0.056439214711789275	active electrode
AF4	0.034229850722724775	0.10981126989940736	0.057116674323529265	active electrode
I2	0.02756693146199432	-0.0847440466605599	0.016858286125892758	active electrode
F9	-0.07172633848477208	0.07010037597452946	-0.012633170672804984	active electrode
F7	-0.07187663250970616	0.07310353217275958	0.02579045587891774	active electrode
F5	-0.06605409092054944	0.08023978357581142	0.0537710792746328	active electrode
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	active electrode
F1	-0.029043954610346055	0.09144847919912263	0.09661865029442487	active electrode
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	active electrode
F2	0.027967905749604307	0.09186996396743785	0.09577991837531719	active electrode
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	active electrode
F6	0.0663313342381619	0.0815289626974268	0.053116279380060916	active electrode
F8	0.07143526180097565	0.07450512184827826	0.025101027393181548	active electrode
F10	0.07049013385387566	0.06997984301139885	-0.013155918880650479	active electrode
PO9	-0.057028193870774596	-0.0686053964353173	0.009741093694962656	active electrode
FC5	-0.07890598380592659	0.051367389393278916	0.06296234793922344	active electrode
FC3	-0.06185234453174111	0.057133289447271314	0.09376582882952603	active electrode
FC1	-0.03571586782937188	0.06171406221864098	0.11798301537735789	active electrode
FCz	-0.0012714337533993952	0.06345979225353343	0.12657198384237547	active electrode
FC2	0.03313097492028421	0.06182848393513826	0.11678169813445863	active electrode
FC4	0.060625474352247244	0.05770741653090674	0.09379461804488445	active electrode
FC6	0.07784661183611408	0.05209880614588322	0.062867106289257	active electrode
PO10	0.052868931976097835	-0.06904690228649386	0.009667772074869067	active electrode
T7	-0.08598208540859081	0.014871643830998479	0.03117337373904913	active electrode
C5	-0.08208530618179086	0.019293632972432445	0.0694896677281912	active electrode
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	active electrode
C1	-0.037937831285299435	0.026337454328592032	0.12977060888830635	active electrode
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	active electrode
C2	0.035892709469692044	0.026358135962367156	0.12841234097161527	active electrode
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	active electrode
C6	0.08165316193008805	0.01969565410623155	0.06948180710557077	active electrode
T8	0.08326136240706139	0.015258183861365685	0.030972968524064372	active electrode
TP7	-0.08675728536194152	-0.014950971454822267	0.03515865615910235	active electrode
CP5	-0.0815135185591705	-0.013345688457798027	0.07313262712367748	active electrode
CP3	-0.06547224097149225	-0.011896599111525148	0.10777792004227077	active electrode
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	active electrode
CPz	-0.0015249123600369623	-0.010518376261361682	0.1415491439763013	active electrode
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	active electrode
CP4	0.0646962476012671	-0.011991179362648905	0.10771287092399104	active electrode
CP6	0.08140110027360135	-0.01346204793715924	0.07336367003861735	active electrode
TP8	0.08362231532894225	-0.01508567532515739	0.03505769683479039	active electrode
P9	-0.07504186115216518	-0.044614328642365725	0.002842148832066481	active electrode
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	active electrode
P5	-0.06929984778304407	-0.043226969304827736	0.07225380245654861	active electrode
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	active electrode
P1	-0.030653624162682504	-0.04492738508964679	0.11947204537971742	active electrode
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	active electrode
P2	0.029886386222411618	-0.04503254404940618	0.12074781507025559	active electrode
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	active electrode
P6	0.06586061191164945	-0.0433385196931155	0.07194130862688547	active electrode
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	active electrode
P10	0.07185894733971461	-0.045773124106266744	0.002655786411093812	active electrode
PO7	-0.056948628595126505	-0.06592324268349231	0.04790743802199564	active electrode
PO3	-0.038624608976388995	-0.06736158053162712	0.08241555265208678	active electrode
POz	-0.0018998318804281135	-0.06805409903094144	0.0959099993612478	active electrode
PO4	0.03466778587174901	-0.06766213823777688	0.08164652939132971	active electrode
PO8	0.05355731544232249	-0.0664169403782647	0.04785097585047131	active electrode
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	active electrode
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	active electrode
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	active electrode
